Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,design_description,env_broad_scale,env_local_scale,env_medium,Experiment,file_md5,file-type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,INSTRUMENT_MODEL,Instrument,Investigation_type,Lat_Lon,library_construction_protocol,library_layout,Library Name,Library_name,library_selection,library_source,library_strategy,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_method,SRA Study
SRR16555257,AMPLICON,741,19700241,PRJNA774098,SAMN22550488,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",17864909,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757446,2efc45c6a0021b0c463a2056982fe9b1,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C10_A10,C10_A10,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode10,Oxford Nanopore,SRP342932
SRR16555260,AMPLICON,737,18697727,PRJNA774098,SAMN22550485,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",16984630,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757443,5155b31a3341c699e916205ca48e6c17,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C7_A7,C7_A7,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode07,Oxford Nanopore,SRP342932
SRR16555262,AMPLICON,1097,78601404,PRJNA774098,SAMN22550535,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",71422658,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757441,6b7581562b016f050688a1de0ec8b317,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS48_G9,IS48_G9,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode81,Oxford Nanopore,SRP342932
SRR16555263,AMPLICON,1012,19691576,PRJNA774098,SAMN22550534,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",17946099,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757440,111f8dd8a0315643f83ef23bbf93c13e,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS47_G8,IS47_G8,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode80,Oxford Nanopore,SRP342932
SRR16555265,AMPLICON,864,25194326,PRJNA774098,SAMN22550532,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",22938681,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757438,fa4d5f2bedc51ec3150b13e0fb61de43,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS36_F8,IS36_F8,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode68,Oxford Nanopore,SRP342932
SRR16555267,AMPLICON,1217,72841285,PRJNA774098,SAMN22550530,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",66242684,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757436,54d92b8686d25b06804938741ba58426,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS33_F4,IS33_F4,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode64,Oxford Nanopore,SRP342932
SRR16555269,AMPLICON,1004,31247297,PRJNA774098,SAMN22550484,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",28368001,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757434,5dcaccf91873c38e92307c86708c6732,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C6_A6,C6_A6,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode06,Oxford Nanopore,SRP342932
SRR16555271,AMPLICON,1472,118653503,PRJNA774098,SAMN22550527,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",107826247,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757432,6f039fbb9f34321e25eda424af777bfe,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS28_E11,IS28_E11,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode59,Oxford Nanopore,SRP342932
SRR16555272,AMPLICON,1170,61148798,PRJNA774098,SAMN22550526,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",55636341,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757431,95fe8c89a2092c2c91f89d2dd9a181a6,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS23_E4,IS23_E4,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode52,Oxford Nanopore,SRP342932
SRR16555274,AMPLICON,1695,203881783,PRJNA774098,SAMN22550524,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",185252506,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757429,14e15cf51398ee4f1ced015ef34b6a01,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS15_D7,IS15_D7,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode43,Oxford Nanopore,SRP342932
