Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,SRA Study
DRR328588,AMPLICON,602,50264592,PRJDB12349,SAMD00408333,MIMS.me.human-gut,28697622,UT_IMS,2020-03-19,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317592,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408333,B-255_S5_L001_R1_001.fastq.gz,DRP008009
DRR328589,AMPLICON,602,61028352,PRJDB12349,SAMD00408413,MIMS.me.human-gut,33658650,UT_IMS,2020-03-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317593,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408413,B-256_S6_L001_R1_001.fastq.gz,DRP008009
DRR328591,AMPLICON,602,61915098,PRJDB12349,SAMD00408417,MIMS.me.human-gut,35923112,UT_IMS,2020-03-26,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317595,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408417,B-259_S9_L001_R1_001.fastq.gz,DRP008009
DRR328593,AMPLICON,602,61582192,PRJDB12349,SAMD00408421,MIMS.me.human-gut,35376476,UT_IMS,2020-03-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317597,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408421,B-261_S11_L001_R1_001.fastq.gz,DRP008009
DRR328595,AMPLICON,602,69950594,PRJDB12349,SAMD00408336,MIMS.me.human-gut,40079279,UT_IMS,2020-04-06,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317599,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408336,B-263_S13_L001_R1_001.fastq.gz,DRP008009
DRR328598,AMPLICON,602,58593864,PRJDB12349,SAMD00408342,MIMS.me.human-gut,33644804,UT_IMS,2020-04-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317602,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408342,B-266_S16_L001_R1_001.fastq.gz,DRP008009
DRR328600,AMPLICON,602,55727742,PRJDB12349,SAMD00408346,MIMS.me.human-gut,31574838,UT_IMS,2020-04-13,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317604,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408346,B-269_S19_L001_R1_001.fastq.gz,DRP008009
DRR328602,AMPLICON,602,59742480,PRJDB12349,SAMD00408350,MIMS.me.human-gut,33251079,UT_IMS,2020-04-14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317606,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408350,B-271_S21_L001_R1_001.fastq.gz,DRP008009
DRR328604,AMPLICON,602,154159558,PRJDB12349,SAMD00408354,MIMS.me.human-gut,95913192,UT_IMS,2020-04-23,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317608,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408354,B-274_S2_L001_R1_001.fastq.gz,DRP008009
DRR328606,AMPLICON,602,57112944,PRJDB12349,SAMD00408358,MIMS.me.human-gut,31468061,UT_IMS,2020-04-28,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human gut,human gut environment,fecal material,DRX317610,Japan,Asia,Japan:Tokyo,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Fecal microbiome analysis inSARS-CoV-2 infected individuals in IMSUT,2021-12-24T00:00:00Z,SAMD00408358,B-276_S26_L001_R1_001.fastq.gz,DRP008009
