Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR13760907,AMPLICON,406,20793297,PRJNA703303,SAMN18011781,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",8378215,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Acute_replicate_9,human feces,SRX10147739,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP19_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP19_1,SRP307447
SRR13760908,AMPLICON,405,27606534,PRJNA703303,SAMN18011852,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12818734,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Postconvalescence_replicate_4,human feces,SRX10147738,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_19_F,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_19_F,SRP307447
SRR13760909,AMPLICON,404,26596872,PRJNA703303,SAMN18011851,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12472107,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Postconvalescence_replicate_3,human feces,SRX10147737,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_12_F,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_12_F,SRP307447
SRR13760910,AMPLICON,405,23395176,PRJNA703303,SAMN18011850,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10564718,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Postconvalescence_replicate_2,human feces,SRX10147736,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_11_F,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_11_F,SRP307447
SRR13760911,AMPLICON,412,28703660,PRJNA703303,SAMN18011849,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14095695,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Postconvalescence_replicate_1,human feces,SRX10147735,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_1_F,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_1_F,SRP307447
SRR13760912,AMPLICON,418,24186939,PRJNA703303,SAMN18011848,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10683207,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_20,human feces,SRX10147734,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP9_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP9_4,SRP307447
SRR13760913,AMPLICON,407,29254521,PRJNA703303,SAMN18011847,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12158530,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_19,human feces,SRX10147733,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP6_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP6_3,SRP307447
SRR13760914,AMPLICON,408,19561320,PRJNA703303,SAMN18011846,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9385680,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_18,human feces,SRX10147732,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_8_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_8_4,SRP307447
SRR13760915,AMPLICON,424,17747994,PRJNA703303,SAMN18011845,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8431079,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_17,human feces,SRX10147731,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_72_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_72_3,SRP307447
SRR13760916,AMPLICON,426,18414076,PRJNA703303,SAMN18011844,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7499304,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_16,human feces,SRX10147730,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_61_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_61_1,SRP307447
